"Data","Australian dollar ","Czech koruna ","Danish krone ","Hong Kong dollar ","Japanese yen ","Korean won ","Malaysian ringgit ","Mexican peso ","Philippine peso ","Polish zloty ","Singapore dollar ","US dollar "
1999-01-04,1.91,35.107,7.4501,9.1332,133.73,1398.59,4.4798,11.6446,45.51,4.0712,1.9554,1.1789
1999-01-05,1.8944,34.917,7.4495,9.1341,130.96,1373.01,4.4805,11.596,44.745,4.0245,1.9655,1.179
1999-01-06,1.882,34.85,7.4452,9.101,131.42,1359.54,4.4637,11.4705,44.872,4.0065,1.9699,1.1743
1999-01-07,1.8474,34.886,7.4431,9.0131,129.43,1337.16,4.4203,11.5511,44.436,4.0165,1.9436,1.1632
1999-01-08,1.8406,34.938,7.4433,9.0302,130.09,1366.73,4.4295,11.4414,44.295,4.0363,1.9537,1.1659
1999-01-09,1.8319,35.0222,7.4433,9.0065,128.8751,1360.6055,4.4176,11.4614,44.0745,4.0341,1.9471,1.1626
1999-01-10,1.8232,35.1022,7.4433,8.986,127.8028,1358.8726,4.4073,11.4655,43.8606,4.0336,1.9419,1.1598
1999-01-11,1.8134,35.173,7.4433,8.9655,126.33,1356.7,4.397,11.4322,43.565,4.032,1.9358,1.1569
1999-01-12,1.809,35.25,7.443,8.9246,129.63,1353.43,4.377,11.4897,43.656,4.033,1.9343,1.152
1999-01-13,1.862,36.113,7.4432,9.1008,131.89,1377.93,4.4634,12.8946,45.573,4.2033,1.9815,1.1744
1999-01-14,1.8353,35.698,7.4437,9.0288,132.74,1382.23,4.4286,12.1499,44.87,4.1335,1.9615,1.1653
1999-01-15,1.8388,35.86,7.4441,9.0102,131.74,1375.76,4.4172,12.8495,44.987,4.2,1.957,1.1626
1999-01-16,1.8353,35.7711,7.4436,9.0062,132.1652,1374.2072,4.4158,12.4499,44.7823,4.152,1.9565,1.1623
1999-01-17,1.8323,35.7052,7.4432,9.0005,132.4828,1372.2085,4.4133,12.1894,44.6125,4.1122,1.9556,1.1618
1999-01-18,1.8292,35.615,7.4431,8.9944,132.9,1371.26,4.4112,11.8813,44.403,4.0667,1.9549,1.1612
1999-01-19,1.8295,35.745,7.438,8.9944,132.14,1364.47,4.4056,11.9167,44.521,4.0973,1.9521,1.1616
1999-01-20,1.8064,35.773,7.4378,8.9605,131.59,1349.24,4.3884,11.7196,44.346,4.0847,1.9398,1.1575
1999-01-21,1.8171,36.06,7.4385,8.9647,130.34,1356.82,4.3966,11.9229,44.14,4.1277,1.9368,1.1572
1999-01-22,1.8225,36.287,7.4372,8.9738,131.88,1365.8,4.3935,11.8665,44.687,4.1587,1.9461,1.1567
1999-01-23,1.8255,36.2565,7.4371,8.9741,131.8637,1364.5293,4.3962,11.8634,44.6906,4.1582,1.9486,1.1573
1999-01-24,1.8287,36.256,7.4369,8.9752,131.9608,1364.7669,4.3983,11.857,44.7551,4.1602,1.9517,1.1578
1999-01-25,1.8317,36.211,7.4367,8.9765,132.09,1366.16,4.4014,11.8547,44.883,4.1607,1.9557,1.1584
1999-01-26,1.8391,36.615,7.436,8.9808,131.81,1360.47,4.3979,11.8397,44.5,4.1837,1.9512,1.1582
1999-01-27,1.8313,36.464,7.4358,8.935,131.91,1354.55,4.3758,11.716,44.566,4.1588,1.9446,1.1529
1999-01-28,1.8262,36.432,7.4359,8.8428,132.25,1341.07,4.3357,11.6284,44.098,4.1381,1.929,1.141
1999-01-29,1.8087,36.827,7.4359,8.8192,132.1,1337.33,4.3249,11.6205,43.819,4.161,1.9233,1.1384
1999-01-30,1.8023,36.9159,7.436,8.8092,131.5926,1335.6366,4.3182,11.5671,43.8075,4.1853,1.9214,1.1371
1999-01-31,1.7949,37.0343,7.4362,8.7973,131.1194,1333.4031,4.3107,11.5186,43.7566,4.2093,1.919,1.1355
1999-02-01,1.7882,37.142,7.4363,8.7839,130.88,1331.58,4.3018,11.4716,43.699,4.236,1.9169,1.1338
1999-02-02,1.7741,37.395,7.4368,8.7849,127.7,1326.43,4.3081,11.4046,43.704,4.2296,1.9114,1.1337
1999-02-03,1.7609,37.168,7.4372,8.7874,126.86,1327.18,4.3094,11.4058,43.61,4.2014,1.9132,1.1337
1999-02-04,1.7541,37.158,7.4362,8.7296,127.65,1318.51,4.2806,11.4007,43.481,4.1512,1.9009,1.1263
